"genotype.idx" "phenotype.idx" "pval" "phenotype" "p.bh"
"MAV27.2" "TVAG_425230" 211 1.48786300133892e-06 "MAV27" 0.0224805858715527
"Tvmar120.2" "TVAG_104860" 120 1.50662434103487e-06 "Tvmar120" 0.0226011655181345
"MAV65.2" "TVAG_104860" 249 1.50662434103487e-06 "MAV65" 0.0226011655181345
"MAV66.2" "TVAG_104860" 250 1.50662434103487e-06 "MAV66" 0.0226011655181345
"MAV67.2" "TVAG_104860" 251 1.50662434103487e-06 "MAV67" 0.0226011655181345
"Tvmar138.30" "TVAG_424940" 138 1.52368904073809e-06 "Tvmar138" 0.0226839343542564
"Tvmar139.30" "TVAG_424940" 139 1.52368904073809e-06 "Tvmar139" 0.0226839343542564
"MAV63.1" "TVAG_098730" 247 1.52837232646879e-06 "MAV63" 0.0226839343542564
"MAV64.1" "TVAG_098730" 248 1.52837232646879e-06 "MAV64" 0.0226839343542564
"MAV71.1" "TVAG_098730" 255 1.52837232646879e-06 "MAV71" 0.0226839343542564
"MAV72.1" "TVAG_098730" 256 1.52837232646879e-06 "MAV72" 0.0226839343542564
"Tvmar107.1" "TVAG_134690" 107 1.584798694877e-06 "Tvmar107" 0.022961625167824
"Tvmar108.1" "TVAG_134690" 108 1.584798694877e-06 "Tvmar108" 0.022961625167824
"Tvmar9.3" "TVAG_392070" 9 1.59436391881799e-06 "Tvmar9" 0.022961625167824
"Tvmar10.3" "TVAG_392070" 10 1.59436391881799e-06 "Tvmar10" 0.022961625167824
"Tvmar15.3" "TVAG_392070" 15 1.59436391881799e-06 "Tvmar15" 0.022961625167824
"Tvmar30.3" "TVAG_392070" 30 1.59436391881799e-06 "Tvmar30" 0.022961625167824
"Tvmar34.3" "TVAG_392070" 34 1.59436391881799e-06 "Tvmar34" 0.022961625167824
"Tvmar41.3" "TVAG_392070" 41 1.59436391881799e-06 "Tvmar41" 0.022961625167824
"Tvmar42.3" "TVAG_392070" 42 1.59436391881799e-06 "Tvmar42" 0.022961625167824
"MAV15.3" "TVAG_392070" 199 1.59436391881799e-06 "MAV15" 0.022961625167824
"Tvmar178.82" "TVAG_561320" 178 1.59828628159637e-06 "Tvmar178" 0.022961625167824
"Tvmar1.7" "TVAG_383380" 1 1.60458443481722e-06 "Tvmar1" 0.022961625167824
"Tvmar4.7" "TVAG_383380" 4 1.60458443481722e-06 "Tvmar4" 0.022961625167824
"Tvmar5.7" "TVAG_383380" 5 1.60458443481722e-06 "Tvmar5" 0.022961625167824
"Tvmar6.7" "TVAG_383380" 6 1.60458443481722e-06 "Tvmar6" 0.022961625167824
"Tvmar7.7" "TVAG_383380" 7 1.60458443481722e-06 "Tvmar7" 0.022961625167824
"Tvmar16.7" "TVAG_383380" 16 1.60458443481722e-06 "Tvmar16" 0.022961625167824
"Tvmar23.7" "TVAG_383380" 23 1.60458443481722e-06 "Tvmar23" 0.022961625167824
"Tvmar24.7" "TVAG_383380" 24 1.60458443481722e-06 "Tvmar24" 0.022961625167824
"Tvmar38.7" "TVAG_383380" 38 1.60458443481722e-06 "Tvmar38" 0.022961625167824
"Tvmar39.7" "TVAG_383380" 39 1.60458443481722e-06 "Tvmar39" 0.022961625167824
"Tvmar178.67" "TVAG_383570" 178 1.61987513094882e-06 "Tvmar178" 0.0231409455700057
"MAV91.8" "TVAG_357090" 275 1.64722617388193e-06 "MAV91" 0.0234916527467417
"Tvmar172.4" "TVAG_198160" 172 1.67177048792506e-06 "Tvmar172" 0.0238012093105901
"Tvmar22.6" "TVAG_256830" 22 1.71350791051373e-06 "Tvmar22" 0.024108906800238
"Tvmar25.6" "TVAG_256830" 25 1.71350791051373e-06 "Tvmar25" 0.024108906800238
"Tvmar28.6" "TVAG_256830" 28 1.71350791051373e-06 "Tvmar28" 0.024108906800238
"Tvmar29.6" "TVAG_256830" 29 1.71350791051373e-06 "Tvmar29" 0.024108906800238
"Tvmar32.6" "TVAG_256830" 32 1.71350791051373e-06 "Tvmar32" 0.024108906800238
"Tvmar33.6" "TVAG_256830" 33 1.71350791051373e-06 "Tvmar33" 0.024108906800238
"Tvmar45.6" "TVAG_256830" 45 1.71350791051373e-06 "Tvmar45" 0.024108906800238
"MAV95.3" "TVAG_184180" 279 1.72754182897791e-06 "MAV95" 0.0242656486330344
"Tvmar166.1" "TVAG_025770" 166 1.7567410332664e-06 "Tvmar166" 0.0244578273972266
"Tvmar167.1" "TVAG_025770" 167 1.7567410332664e-06 "Tvmar167" 0.0244578273972266
"Tvmar178.24" "TVAG_157240" 178 1.76603672104408e-06 "Tvmar178" 0.0244578273972266
"MAV57" "TVAG_407920" 241 1.77597600726944e-06 "MAV57" 0.0244578273972266
"Tvmar11.2" "TVAG_273360" 11 1.78205630603375e-06 "Tvmar11" 0.0244578273972266
"Tvmar14.2" "TVAG_273360" 14 1.78205630603375e-06 "Tvmar14" 0.0244578273972266
"Tvmar18.2" "TVAG_273360" 18 1.78205630603375e-06 "Tvmar18" 0.0244578273972266
"Tvmar19.2" "TVAG_273360" 19 1.78205630603375e-06 "Tvmar19" 0.0244578273972266
"Tvmar26.2" "TVAG_273360" 26 1.78205630603375e-06 "Tvmar26" 0.0244578273972266
"Tvmar27.2" "TVAG_273360" 27 1.78205630603375e-06 "Tvmar27" 0.0244578273972266
"Tvmar35.2" "TVAG_273360" 35 1.78205630603375e-06 "Tvmar35" 0.0244578273972266
"Tvmar36.2" "TVAG_273360" 36 1.78205630603375e-06 "Tvmar36" 0.0244578273972266
"Tvmar37.2" "TVAG_273360" 37 1.78205630603375e-06 "Tvmar37" 0.0244578273972266
"Tvmar40.2" "TVAG_273360" 40 1.78205630603375e-06 "Tvmar40" 0.0244578273972266
"Tvmar172.1" "TVAG_004670" 172 1.78919225582527e-06 "Tvmar172" 0.0244921067836066
"Tvmar178.76" "TVAG_452820" 178 1.79039540539297e-06 "Tvmar178" 0.0244921067836066
"Tvmar178.61" "TVAG_360870" 178 1.79876357372254e-06 "Tvmar178" 0.024566505113568
"Tvmar138.17" "TVAG_261070" 138 1.82075236413731e-06 "Tvmar138" 0.0247860792790107
"Tvmar139.17" "TVAG_261070" 139 1.82075236413731e-06 "Tvmar139" 0.0247860792790107
"Tvmar178.40" "TVAG_224660" 178 1.82393540068673e-06 "Tvmar178" 0.0247891681095719
"Tvmar122.1" "TVAG_184570" 122 1.83979976008085e-06 "Tvmar122" 0.0249239902657797
"MAV74.1" "TVAG_184570" 258 1.83979976008085e-06 "MAV74" 0.0249239902657797
"Tvmar178.34" "TVAG_207520" 178 1.85969458149985e-06 "Tvmar178" 0.0251528731320269
"MAV10" "TVAG_147470" 194 1.88780586125381e-06 "MAV10" 0.0254509858535828
"MAV11" "TVAG_147470" 195 1.88780586125381e-06 "MAV11" 0.0254509858535828
"MAV88.6" "TVAG_291760" 272 1.91624497885546e-06 "MAV88" 0.0257929280888425
"Tvmar178.55" "TVAG_320120" 178 1.93940321070379e-06 "Tvmar178" 0.0260628067998334
"Tvmar138.9" "TVAG_192920" 138 1.9561652742162e-06 "Tvmar138" 0.0262040775442588
"Tvmar139.9" "TVAG_192920" 139 1.9561652742162e-06 "Tvmar139" 0.0262040775442588
"Tvmar178.66" "TVAG_380680" 178 1.96147710086456e-06 "Tvmar178" 0.0262333265669102
"Tvmar75.3" "TVAG_044220" 75 2.02584022349323e-06 "Tvmar75" 0.0270079865425438
"Tvmar76.3" "TVAG_044220" 76 2.02584022349323e-06 "Tvmar76" 0.0270079865425438
"Tvmar178.81" "TVAG_490850" 178 2.04222538746813e-06 "Tvmar178" 0.0271832128261573
"Tvmar178.46" "TVAG_271690" 178 2.06269937543957e-06 "Tvmar178" 0.0274122221018123
"Tvmar171.1" "TVAG_053020" 171 2.06630268772859e-06 "Tvmar171" 0.0274166587449361
"MAV88.3" "TVAG_213570" 272 2.08099586013238e-06 "MAV88" 0.0275679943008603
"Tvmar178.69" "TVAG_410390" 178 2.0852228525596e-06 "Tvmar178" 0.0275804204220469
"Tvmar1.6" "TVAG_374870" 1 2.20539135561683e-06 "Tvmar1" 0.0283780011062511
"Tvmar4.6" "TVAG_374870" 4 2.20539135561683e-06 "Tvmar4" 0.0283780011062511
"Tvmar5.6" "TVAG_374870" 5 2.20539135561683e-06 "Tvmar5" 0.0283780011062511
"Tvmar6.6" "TVAG_374870" 6 2.20539135561683e-06 "Tvmar6" 0.0283780011062511
"Tvmar7.6" "TVAG_374870" 7 2.20539135561683e-06 "Tvmar7" 0.0283780011062511
"Tvmar16.6" "TVAG_374870" 16 2.20539135561683e-06 "Tvmar16" 0.0283780011062511
"Tvmar23.6" "TVAG_374870" 23 2.20539135561683e-06 "Tvmar23" 0.0283780011062511
"Tvmar24.6" "TVAG_374870" 24 2.20539135561683e-06 "Tvmar24" 0.0283780011062511
"Tvmar38.6" "TVAG_374870" 38 2.20539135561683e-06 "Tvmar38" 0.0283780011062511
"Tvmar39.6" "TVAG_374870" 39 2.20539135561683e-06 "Tvmar39" 0.0283780011062511
"Tvmar2.18" "TVAG_448390" 2 2.22145489830968e-06 "Tvmar2" 0.0283780011062511
"Tvmar3.18" "TVAG_448390" 3 2.22145489830968e-06 "Tvmar3" 0.0283780011062511
"Tvmar13.18" "TVAG_448390" 13 2.22145489830968e-06 "Tvmar13" 0.0283780011062511
"MAV25.18" "TVAG_448390" 209 2.22145489830968e-06 "MAV25" 0.0283780011062511
"Tvmar1.1" "TVAG_115160" 1 2.22674266712124e-06 "Tvmar1" 0.0283780011062511
"Tvmar4.1" "TVAG_115160" 4 2.22674266712124e-06 "Tvmar4" 0.0283780011062511
"Tvmar5.1" "TVAG_115160" 5 2.22674266712124e-06 "Tvmar5" 0.0283780011062511
"Tvmar6.1" "TVAG_115160" 6 2.22674266712124e-06 "Tvmar6" 0.0283780011062511
"Tvmar7.1" "TVAG_115160" 7 2.22674266712124e-06 "Tvmar7" 0.0283780011062511
"Tvmar16.1" "TVAG_115160" 16 2.22674266712124e-06 "Tvmar16" 0.0283780011062511
"Tvmar23.1" "TVAG_115160" 23 2.22674266712124e-06 "Tvmar23" 0.0283780011062511
"Tvmar24.1" "TVAG_115160" 24 2.22674266712124e-06 "Tvmar24" 0.0283780011062511
"Tvmar38.1" "TVAG_115160" 38 2.22674266712124e-06 "Tvmar38" 0.0283780011062511
"Tvmar39.1" "TVAG_115160" 39 2.22674266712124e-06 "Tvmar39" 0.0283780011062511
"Tvmar2.15" "TVAG_433120" 2 2.27481110267031e-06 "Tvmar2" 0.0288154239723673
"Tvmar3.15" "TVAG_433120" 3 2.27481110267031e-06 "Tvmar3" 0.0288154239723673
"Tvmar13.15" "TVAG_433120" 13 2.27481110267031e-06 "Tvmar13" 0.0288154239723673
"MAV25.15" "TVAG_433120" 209 2.27481110267031e-06 "MAV25" 0.0288154239723673
"Tvmar131.3" "TVAG_317800" 131 2.29088099004369e-06 "Tvmar131" 0.0288793096747891
"Tvmar179.9" "TVAG_294700" 179 2.29363006541751e-06 "Tvmar179" 0.0288793096747891
"Tvmar180.9" "TVAG_294700" 180 2.29363006541751e-06 "Tvmar180" 0.0288793096747891
"Tvmar181.9" "TVAG_294700" 181 2.29363006541751e-06 "Tvmar181" 0.0288793096747891
"MAV63.2" "TVAG_103740" 247 2.33527914641761e-06 "MAV63" 0.0292281725510171
"MAV64.2" "TVAG_103740" 248 2.33527914641761e-06 "MAV64" 0.0292281725510171
"MAV71.2" "TVAG_103740" 255 2.33527914641761e-06 "MAV71" 0.0292281725510171
"MAV72.2" "TVAG_103740" 256 2.33527914641761e-06 "MAV72" 0.0292281725510171
"Tvmar75.1" "TVAG_012340" 75 2.35741949697048e-06 "Tvmar75" 0.0294174661284545
"Tvmar76.1" "TVAG_012340" 76 2.35741949697048e-06 "Tvmar76" 0.0294174661284545
"Tvmar75.4" "TVAG_419500" 75 2.41702378537846e-06 "Tvmar75" 0.0300717492763902
"Tvmar76.4" "TVAG_419500" 76 2.41702378537846e-06 "Tvmar76" 0.0300717492763902
"MAV95.7" "TVAG_394370" 279 2.44243460698455e-06 "MAV95" 0.0302980601236286
"Tvmar48.1" "TVAG_055360" 48 2.44243972496561e-06 "Tvmar48" 0.0302980601236286
"MAV82.2" "TVAG_064800" 266 2.49113601317081e-06 "MAV82" 0.0308109727865694
"MAV83.2" "TVAG_064800" 267 2.49113601317081e-06 "MAV83" 0.0308109727865694
"MAV86.11" "TVAG_369320" 270 2.52700126055029e-06 "MAV86" 0.0312085325575202
"Tvmar178.28" "TVAG_187330" 178 2.54460191294257e-06 "Tvmar178" 0.0313796865207372
"MAV23" "TVAG_259030" 207 2.57789634506888e-06 "MAV23" 0.0316043609476039
"MAV24" "TVAG_259030" 208 2.57789634506888e-06 "MAV24" 0.0316043609476039
"MAV46" "TVAG_259030" 230 2.57789634506888e-06 "MAV46" 0.0316043609476039
"MAV47" "TVAG_259030" 231 2.57789634506888e-06 "MAV47" 0.0316043609476039
"Tvmar138.28" "TVAG_407700" 138 2.60458517874348e-06 "Tvmar138" 0.0318384644120459
"Tvmar139.28" "TVAG_407700" 139 2.60458517874348e-06 "Tvmar139" 0.0318384644120459
"Tvmar106" "TVAG_445230" 106 2.62412815389743e-06 "Tvmar106" 0.0319841097209837
"MAV56" "TVAG_445230" 240 2.62412815389743e-06 "MAV56" 0.0319841097209837
"Tvmar138.39" "TVAG_497970" 138 2.63225543485268e-06 "Tvmar138" 0.0319901741563336
"Tvmar139.39" "TVAG_497970" 139 2.63225543485268e-06 "Tvmar139" 0.0319901741563336
"Tvmar138.27" "TVAG_402100" 138 2.6657334933407e-06 "Tvmar138" 0.0320772949207836
"Tvmar139.27" "TVAG_402100" 139 2.6657334933407e-06 "Tvmar139" 0.0320772949207836
"MAV91.1" "TVAG_086230" 275 2.67191295806779e-06 "MAV91" 0.0320772949207836
"Tvmar173.9" "TVAG_429500" 173 2.69297754504849e-06 "Tvmar173" 0.0320772949207836
"Tvmar174.9" "TVAG_429500" 174 2.69297754504849e-06 "Tvmar174" 0.0320772949207836
"Tvmar175.9" "TVAG_429500" 175 2.69297754504849e-06 "Tvmar175" 0.0320772949207836
"Tvmar177.9" "TVAG_429500" 177 2.69297754504849e-06 "Tvmar177" 0.0320772949207836
"Tvmar185.9" "TVAG_429500" 185 2.69297754504849e-06 "Tvmar185" 0.0320772949207836
"MAV89.9" "TVAG_429500" 273 2.69297754504849e-06 "MAV89" 0.0320772949207836
"MAV90.9" "TVAG_429500" 274 2.69297754504849e-06 "MAV90" 0.0320772949207836
"MAV92.9" "TVAG_429500" 276 2.69297754504849e-06 "MAV92" 0.0320772949207836
"MAV97.9" "TVAG_429500" 281 2.69297754504849e-06 "MAV97" 0.0320772949207836
"MAV98.9" "TVAG_429500" 282 2.69297754504849e-06 "MAV98" 0.0320772949207836
"MAV99.9" "TVAG_429500" 283 2.69297754504849e-06 "MAV99" 0.0320772949207836
"Tvmar178.30" "TVAG_191990" 178 2.71820269205798e-06 "Tvmar178" 0.0323318373507865
"Tvmar178.54" "TVAG_308860" 178 2.75756570228395e-06 "Tvmar178" 0.03266958062844
"Tvmar2.5" "TVAG_081020" 2 2.76607686426322e-06 "Tvmar2" 0.03266958062844
"Tvmar3.5" "TVAG_081020" 3 2.76607686426322e-06 "Tvmar3" 0.03266958062844
"Tvmar13.5" "TVAG_081020" 13 2.76607686426322e-06 "Tvmar13" 0.03266958062844
"MAV25.5" "TVAG_081020" 209 2.76607686426322e-06 "MAV25" 0.03266958062844
"Tvmar138.29" "TVAG_407930" 138 2.77997587469166e-06 "Tvmar138" 0.0327415094567049
"Tvmar139.29" "TVAG_407930" 139 2.77997587469166e-06 "Tvmar139" 0.0327415094567049
"Tvmar138.13" "TVAG_218100" 138 2.81715356588892e-06 "Tvmar138" 0.0330864348859392
"Tvmar139.13" "TVAG_218100" 139 2.81715356588892e-06 "Tvmar139" 0.0330864348859392
"Tvmar178.63" "TVAG_363540" 178 2.82133436245334e-06 "Tvmar178" 0.0330891933993362
"Tvmar8.1" "TVAG_020900" 8 2.86194692377302e-06 "Tvmar8" 0.0333324121338637
"Tvmar31.1" "TVAG_020900" 31 2.86194692377302e-06 "Tvmar31" 0.0333324121338637
"MAV29.1" "TVAG_020900" 213 2.86194692377302e-06 "MAV29" 0.0333324121338637
"MAV32.1" "TVAG_020900" 216 2.86194692377302e-06 "MAV32" 0.0333324121338637
"MAV33.1" "TVAG_020900" 217 2.86194692377302e-06 "MAV33" 0.0333324121338637
"Tvmar8.3" "TVAG_119240" 8 2.90443660736369e-06 "Tvmar8" 0.0335939877467562
"Tvmar31.3" "TVAG_119240" 31 2.90443660736369e-06 "Tvmar31" 0.0335939877467562
"MAV29.3" "TVAG_119240" 213 2.90443660736369e-06 "MAV29" 0.0335939877467562
"MAV32.3" "TVAG_119240" 216 2.90443660736369e-06 "MAV32" 0.0335939877467562
"MAV33.3" "TVAG_119240" 217 2.90443660736369e-06 "MAV33" 0.0335939877467562
"MAV62.4" "TVAG_465450" 246 3.00631066364861e-06 "MAV62" 0.0346873542915924
"MAV91.6" "TVAG_333590" 275 3.00723884727939e-06 "MAV91" 0.0346873542915924
"Tvmar105.3" "TVAG_352530" 105 3.02090250885084e-06 "Tvmar105" 0.0347970954664701
"Tvmar138.14" "TVAG_234360" 138 3.05334730742751e-06 "Tvmar138" 0.0350744613818918
"Tvmar139.14" "TVAG_234360" 139 3.05334730742751e-06 "Tvmar139" 0.0350744613818918
"Tvmar178.83" "TVAG_592800" 178 3.07891128978266e-06 "Tvmar178" 0.0353126330826169
"Tvmar178.79" "TVAG_486150" 178 3.08250307745019e-06 "Tvmar178" 0.0353126330826169
"Tvmar138.5" "TVAG_065860" 138 3.11814072281561e-06 "Tvmar138" 0.0355303754699922
"Tvmar139.5" "TVAG_065860" 139 3.11814072281561e-06 "Tvmar139" 0.0355303754699922
"Tvmar138.2" "TVAG_020620" 138 3.13288249843725e-06 "Tvmar138" 0.0355303754699922
"Tvmar139.2" "TVAG_020620" 139 3.13288249843725e-06 "Tvmar139" 0.0355303754699922
"Tvmar120.3" "TVAG_253110" 120 3.13540648732984e-06 "Tvmar120" 0.0355303754699922
"MAV65.3" "TVAG_253110" 249 3.13540648732984e-06 "MAV65" 0.0355303754699922
"MAV66.3" "TVAG_253110" 250 3.13540648732984e-06 "MAV66" 0.0355303754699922
"MAV67.3" "TVAG_253110" 251 3.13540648732984e-06 "MAV67" 0.0355303754699922
"Tvmar138.12" "TVAG_213350" 138 3.15823009217562e-06 "Tvmar138" 0.03565310101656
"Tvmar139.12" "TVAG_213350" 139 3.15823009217562e-06 "Tvmar139" 0.03565310101656
"Tvmar138.35" "TVAG_466720" 138 3.17050915596233e-06 "Tvmar138" 0.03565310101656
"Tvmar139.35" "TVAG_466720" 139 3.17050915596233e-06 "Tvmar139" 0.03565310101656
"Tvmar131.2" "TVAG_276890" 131 3.17678597725071e-06 "Tvmar131" 0.03565310101656
"Tvmar138.6" "TVAG_069980" 138 3.20408478406986e-06 "Tvmar138" 0.03565310101656
"Tvmar139.6" "TVAG_069980" 139 3.20408478406986e-06 "Tvmar139" 0.03565310101656
"Tvmar22.4" "TVAG_202740" 22 3.20575989491669e-06 "Tvmar22" 0.03565310101656
"Tvmar25.4" "TVAG_202740" 25 3.20575989491669e-06 "Tvmar25" 0.03565310101656
"Tvmar28.4" "TVAG_202740" 28 3.20575989491669e-06 "Tvmar28" 0.03565310101656
"Tvmar29.4" "TVAG_202740" 29 3.20575989491669e-06 "Tvmar29" 0.03565310101656
"Tvmar32.4" "TVAG_202740" 32 3.20575989491669e-06 "Tvmar32" 0.03565310101656
"Tvmar33.4" "TVAG_202740" 33 3.20575989491669e-06 "Tvmar33" 0.03565310101656
"Tvmar45.4" "TVAG_202740" 45 3.20575989491669e-06 "Tvmar45" 0.03565310101656
"Tvmar138.16" "TVAG_246730" 138 3.22095576587238e-06 "Tvmar138" 0.0357273355757824
"Tvmar139.16" "TVAG_246730" 139 3.22095576587238e-06 "Tvmar139" 0.0357273355757824
"Tvmar178.48" "TVAG_273320" 178 3.24478435107705e-06 "Tvmar178" 0.0358572448402659
"Tvmar165.1" "TVAG_091870" 165 3.24519118995995e-06 "Tvmar165" 0.0358572448402659
"MAV88.5" "TVAG_270510" 272 3.24549562822685e-06 "MAV88" 0.0358572448402659
"Tvmar173.2" "TVAG_052350" 173 3.31863884633082e-06 "Tvmar173" 0.0361415630873159
"Tvmar174.2" "TVAG_052350" 174 3.31863884633082e-06 "Tvmar174" 0.0361415630873159
"Tvmar175.2" "TVAG_052350" 175 3.31863884633082e-06 "Tvmar175" 0.0361415630873159
"Tvmar177.2" "TVAG_052350" 177 3.31863884633082e-06 "Tvmar177" 0.0361415630873159
"Tvmar185.2" "TVAG_052350" 185 3.31863884633082e-06 "Tvmar185" 0.0361415630873159
"MAV89.2" "TVAG_052350" 273 3.31863884633082e-06 "MAV89" 0.0361415630873159
"MAV90.2" "TVAG_052350" 274 3.31863884633082e-06 "MAV90" 0.0361415630873159
"MAV92.2" "TVAG_052350" 276 3.31863884633082e-06 "MAV92" 0.0361415630873159
"MAV97.2" "TVAG_052350" 281 3.31863884633082e-06 "MAV97" 0.0361415630873159
"MAV98.2" "TVAG_052350" 282 3.31863884633082e-06 "MAV98" 0.0361415630873159
"MAV99.2" "TVAG_052350" 283 3.31863884633082e-06 "MAV99" 0.0361415630873159
"MAV86.6" "TVAG_098420" 270 3.3230447849327e-06 "MAV86" 0.0361426074131998
"Tvmar138.1" "TVAG_005940" 138 3.35161371253126e-06 "Tvmar138" 0.0363590166332918
"Tvmar139.1" "TVAG_005940" 139 3.35161371253126e-06 "Tvmar139" 0.0363590166332918
"MAV82.1" "TVAG_054480" 266 3.37893818653238e-06 "MAV82" 0.0365608436448808
"MAV83.1" "TVAG_054480" 267 3.37893818653238e-06 "MAV83" 0.0365608436448808
"Tvmar138.15" "TVAG_242920" 138 3.40356777695141e-06 "Tvmar138" 0.0367135112374188
"Tvmar139.15" "TVAG_242920" 139 3.40356777695141e-06 "Tvmar139" 0.0367135112374188
"Tvmar178.13" "TVAG_100270" 178 3.41039958499164e-06 "Tvmar178" 0.0367135112374188
"Tvmar138.10" "TVAG_206770" 138 3.41493829295253e-06 "Tvmar138" 0.0367135112374188
"Tvmar139.10" "TVAG_206770" 139 3.41493829295253e-06 "Tvmar139" 0.0367135112374188
"MAV88.7" "TVAG_296760" 272 3.48663398177504e-06 "MAV88" 0.0374363060290442
"Tvmar173.7" "TVAG_374010" 173 3.54426405015253e-06 "Tvmar173" 0.0375265424607506
"Tvmar174.7" "TVAG_374010" 174 3.54426405015253e-06 "Tvmar174" 0.0375265424607506
"Tvmar175.7" "TVAG_374010" 175 3.54426405015253e-06 "Tvmar175" 0.0375265424607506
"Tvmar177.7" "TVAG_374010" 177 3.54426405015253e-06 "Tvmar177" 0.0375265424607506
"Tvmar185.7" "TVAG_374010" 185 3.54426405015253e-06 "Tvmar185" 0.0375265424607506
"MAV89.7" "TVAG_374010" 273 3.54426405015253e-06 "MAV89" 0.0375265424607506
"MAV90.7" "TVAG_374010" 274 3.54426405015253e-06 "MAV90" 0.0375265424607506
"MAV92.7" "TVAG_374010" 276 3.54426405015253e-06 "MAV92" 0.0375265424607506
"MAV97.7" "TVAG_374010" 281 3.54426405015253e-06 "MAV97" 0.0375265424607506
"MAV98.7" "TVAG_374010" 282 3.54426405015253e-06 "MAV98" 0.0375265424607506
"MAV99.7" "TVAG_374010" 283 3.54426405015253e-06 "MAV99" 0.0375265424607506
"Tvmar178.41" "TVAG_229100" 178 3.60938475529281e-06 "Tvmar178" 0.0381678464592014
"Tvmar178.43" "TVAG_247650" 178 3.63524207476414e-06 "Tvmar178" 0.0383928628949663
"Tvmar138.18" "TVAG_280910" 138 3.65132681591357e-06 "Tvmar138" 0.0384658472836034
"Tvmar139.18" "TVAG_280910" 139 3.65132681591357e-06 "Tvmar139" 0.0384658472836034
"Tvmar120.4" "TVAG_375170" 120 3.7044868658648e-06 "Tvmar120" 0.0388307462093784
"MAV65.4" "TVAG_375170" 249 3.7044868658648e-06 "MAV65" 0.0388307462093784
"MAV66.4" "TVAG_375170" 250 3.7044868658648e-06 "MAV66" 0.0388307462093784
"MAV67.4" "TVAG_375170" 251 3.7044868658648e-06 "MAV67" 0.0388307462093784
"MAV95.1" "TVAG_046340" 279 3.72361109697523e-06 "MAV95" 0.0388881924384008
"Tvmar138.21" "TVAG_360820" 138 3.72387966325829e-06 "Tvmar138" 0.0388881924384008
"Tvmar139.21" "TVAG_360820" 139 3.72387966325829e-06 "Tvmar139" 0.0388881924384008
"Tvmar122.4" "TVAG_228920" 122 3.76189638957987e-06 "Tvmar122" 0.0391178880700161
"MAV74.4" "TVAG_228920" 258 3.76189638957987e-06 "MAV74" 0.0391178880700161
"Tvmar151.3" "TVAG_325330" 151 3.76453440232823e-06 "Tvmar151" 0.0391178880700161
"Tvmar152.3" "TVAG_325330" 152 3.76453440232823e-06 "Tvmar152" 0.0391178880700161
"Tvmar178.9" "TVAG_082240" 178 3.79751691639473e-06 "Tvmar178" 0.0393915472605031
"Tvmar178.23" "TVAG_157230" 178 3.80026513495967e-06 "Tvmar178" 0.0393915472605031
"Tvmar138.4" "TVAG_045130" 138 3.83262496951614e-06 "Tvmar138" 0.0396290019270931
"Tvmar139.4" "TVAG_045130" 139 3.83262496951614e-06 "Tvmar139" 0.0396290019270931
"Tvmar178.49" "TVAG_282230" 178 3.87396071067789e-06 "Tvmar178" 0.0399474458955563
"Tvmar138.8" "TVAG_183830" 138 3.87771385165533e-06 "Tvmar138" 0.0399474458955563
"Tvmar139.8" "TVAG_183830" 139 3.87771385165533e-06 "Tvmar139" 0.0399474458955563
"Tvmar178.11" "TVAG_093830" 178 3.90129563956521e-06 "Tvmar178" 0.0400757644872351
"Tvmar84" "TVAG_169080" 84 3.90450702151231e-06 "Tvmar84" 0.0400757644872351
"Tvmar85" "TVAG_169080" 85 3.90450702151231e-06 "Tvmar85" 0.0400757644872351
"MAV95.6" "TVAG_290460" 279 3.91555297649276e-06 "MAV95" 0.0401400089208803
"Tvmar178.71" "TVAG_417460" 178 3.92329894155492e-06 "Tvmar178" 0.0401703081668266
"MAV55" "TVAG_485950" 239 4.08515516626793e-06 "MAV55" 0.0417256454967207
"MAV76" "TVAG_485950" 260 4.08515516626793e-06 "MAV76" 0.0417256454967207
"Tvmar107.2" "TVAG_302770" 107 4.10172384797919e-06 "Tvmar107" 0.0417930673351591
"Tvmar108.2" "TVAG_302770" 108 4.10172384797919e-06 "Tvmar108" 0.0417930673351591
"Tvmar138.26" "TVAG_401140" 138 4.15105747109782e-06 "Tvmar138" 0.0421476977003761
"Tvmar139.26" "TVAG_401140" 139 4.15105747109782e-06 "Tvmar139" 0.0421476977003761
"Tvmar138.23" "TVAG_372970" 138 4.15663319823907e-06 "Tvmar138" 0.0421476977003761
"Tvmar139.23" "TVAG_372970" 139 4.15663319823907e-06 "Tvmar139" 0.0421476977003761
"MAV86.3" "TVAG_084710" 270 4.18873852780027e-06 "MAV86" 0.0424219452088669
"Tvmar171.3" "TVAG_403630" 171 4.21960787987132e-06 "Tvmar171" 0.0426830286740468
"Tvmar58" "TVAG_109980" 58 4.30429799971739e-06 "Tvmar58" 0.043330629050053
"Tvmar59" "TVAG_109980" 59 4.30429799971739e-06 "Tvmar59" 0.043330629050053
"MAV26" "TVAG_109980" 210 4.30429799971739e-06 "MAV26" 0.043330629050053
"MAV36" "TVAG_109980" 220 4.30429799971739e-06 "MAV36" 0.043330629050053
"Tvmar138.20" "TVAG_348030" 138 4.37466831365939e-06 "Tvmar138" 0.0439335522017575
"Tvmar139.20" "TVAG_348030" 139 4.37466831365939e-06 "Tvmar139" 0.0439335522017575
