"genotype.idx" "phenotype.idx" "pval" "phenotype" "p.bh"
"Tvmar23.8" "TVAG_473160" 23 3.13583961242644e-09 "Tvmar23" 0.000181530463065124
"Tvmar24.8" "TVAG_473160" 24 3.13583961242644e-09 "Tvmar24" 0.000181530463065124
"Tvmar38.8" "TVAG_473160" 38 3.13583961242644e-09 "Tvmar38" 0.000181530463065124
"Tvmar39.8" "TVAG_473160" 39 3.13583961242644e-09 "Tvmar39" 0.000181530463065124
"Tvmar179.2" "TVAG_036400" 179 3.13891715537069e-09 "Tvmar179" 0.000181530463065124
"Tvmar180.2" "TVAG_036400" 180 3.13891715537069e-09 "Tvmar180" 0.000181530463065124
"Tvmar181.2" "TVAG_036400" 181 3.13891715537069e-09 "Tvmar181" 0.000181530463065124
"Tvmar178.64" "TVAG_363590" 178 3.31887265908664e-09 "Tvmar178" 0.000190623042831354
"Tvmar75.2" "TVAG_044060" 75 3.38438014781206e-09 "Tvmar75" 0.00019175870476583
"Tvmar76.2" "TVAG_044060" 76 3.38438014781206e-09 "Tvmar76" 0.00019175870476583
"Tvmar8.5" "TVAG_379280" 8 3.64681614500148e-09 "Tvmar8" 0.000199875748032825
"Tvmar31.5" "TVAG_379280" 31 3.64681614500148e-09 "Tvmar31" 0.000199875748032825
"MAV29.5" "TVAG_379280" 213 3.64681614500148e-09 "MAV29" 0.000199875748032825
"MAV32.5" "TVAG_379280" 216 3.64681614500148e-09 "MAV32" 0.000199875748032825
"MAV33.5" "TVAG_379280" 217 3.64681614500148e-09 "MAV33" 0.000199875748032825
"MAV62.2" "TVAG_369020" 246 6.00824867643725e-09 "MAV62" 0.000327163497805469
"Tvmar178.27" "TVAG_182980" 178 7.63723300721648e-09 "Tvmar178" 0.000413182583465542
"Tvmar178.14" "TVAG_101500" 178 8.22199296619258e-09 "Tvmar178" 0.000425656835161461
"Tvmar1.5" "TVAG_342820" 1 8.4261664827182e-09 "Tvmar1" 0.000425656835161461
"Tvmar4.5" "TVAG_342820" 4 8.4261664827182e-09 "Tvmar4" 0.000425656835161461
"Tvmar5.5" "TVAG_342820" 5 8.4261664827182e-09 "Tvmar5" 0.000425656835161461
"Tvmar6.5" "TVAG_342820" 6 8.4261664827182e-09 "Tvmar6" 0.000425656835161461
"Tvmar7.5" "TVAG_342820" 7 8.4261664827182e-09 "Tvmar7" 0.000425656835161461
"Tvmar16.5" "TVAG_342820" 16 8.4261664827182e-09 "Tvmar16" 0.000425656835161461
"Tvmar23.5" "TVAG_342820" 23 8.4261664827182e-09 "Tvmar23" 0.000425656835161461
"Tvmar24.5" "TVAG_342820" 24 8.4261664827182e-09 "Tvmar24" 0.000425656835161461
"Tvmar38.5" "TVAG_342820" 38 8.4261664827182e-09 "Tvmar38" 0.000425656835161461
"Tvmar39.5" "TVAG_342820" 39 8.4261664827182e-09 "Tvmar39" 0.000425656835161461
"Tvmar51.3" "TVAG_118260" 51 8.60920165829867e-09 "Tvmar51" 0.000432298843422408
"MAV86.14" "TVAG_443310" 270 1.28452794719484e-08 "MAV86" 0.000641168148922468
"Tvmar12.5" "TVAG_255650" 12 1.37024004167324e-08 "Tvmar12" 0.000652862390328293
"Tvmar17.5" "TVAG_255650" 17 1.37024004167324e-08 "Tvmar17" 0.000652862390328293
"Tvmar20.5" "TVAG_255650" 20 1.37024004167324e-08 "Tvmar20" 0.000652862390328293
"Tvmar21.5" "TVAG_255650" 21 1.37024004167324e-08 "Tvmar21" 0.000652862390328293
"Tvmar43.5" "TVAG_255650" 43 1.37024004167324e-08 "Tvmar43" 0.000652862390328293
"Tvmar44.5" "TVAG_255650" 44 1.37024004167324e-08 "Tvmar44" 0.000652862390328293
"MAV30.5" "TVAG_255650" 214 1.37024004167324e-08 "MAV30" 0.000652862390328293
"MAV31.5" "TVAG_255650" 215 1.37024004167324e-08 "MAV31" 0.000652862390328293
"Tvmar178.10" "TVAG_091660" 178 1.67044058212862e-08 "Tvmar178" 0.000791398877709454
"Tvmar151.1" "TVAG_009640" 151 2.15325410069365e-08 "Tvmar151" 0.000962770354321179
"Tvmar152.1" "TVAG_009640" 152 2.15325410069365e-08 "Tvmar152" 0.000962770354321179
"Tvmar1.3" "TVAG_147460" 1 2.22074006525209e-08 "Tvmar1" 0.000962770354321179
"Tvmar4.3" "TVAG_147460" 4 2.22074006525209e-08 "Tvmar4" 0.000962770354321179
"Tvmar5.3" "TVAG_147460" 5 2.22074006525209e-08 "Tvmar5" 0.000962770354321179
"Tvmar6.3" "TVAG_147460" 6 2.22074006525209e-08 "Tvmar6" 0.000962770354321179
"Tvmar7.3" "TVAG_147460" 7 2.22074006525209e-08 "Tvmar7" 0.000962770354321179
"Tvmar16.3" "TVAG_147460" 16 2.22074006525209e-08 "Tvmar16" 0.000962770354321179
"Tvmar23.3" "TVAG_147460" 23 2.22074006525209e-08 "Tvmar23" 0.000962770354321179
"Tvmar24.3" "TVAG_147460" 24 2.22074006525209e-08 "Tvmar24" 0.000962770354321179
"Tvmar38.3" "TVAG_147460" 38 2.22074006525209e-08 "Tvmar38" 0.000962770354321179
"Tvmar39.3" "TVAG_147460" 39 2.22074006525209e-08 "Tvmar39" 0.000962770354321179
"Tvmar22.5" "TVAG_203660" 22 2.25030360666498e-08 "Tvmar22" 0.000962770354321179
"Tvmar25.5" "TVAG_203660" 25 2.25030360666498e-08 "Tvmar25" 0.000962770354321179
"Tvmar28.5" "TVAG_203660" 28 2.25030360666498e-08 "Tvmar28" 0.000962770354321179
"Tvmar29.5" "TVAG_203660" 29 2.25030360666498e-08 "Tvmar29" 0.000962770354321179
"Tvmar32.5" "TVAG_203660" 32 2.25030360666498e-08 "Tvmar32" 0.000962770354321179
"Tvmar33.5" "TVAG_203660" 33 2.25030360666498e-08 "Tvmar33" 0.000962770354321179
"Tvmar45.5" "TVAG_203660" 45 2.25030360666498e-08 "Tvmar45" 0.000962770354321179
"Tvmar178.33" "TVAG_206680" 178 2.26833992048739e-08 "Tvmar178" 0.000963999543503699
"MAV81" "TVAG_440940" 265 2.276168214789e-08 "MAV81" 0.000963999543503699
"Tvmar166.2" "TVAG_189620" 166 2.96186700214888e-08 "Tvmar166" 0.00124186166700879
"Tvmar167.2" "TVAG_189620" 167 2.96186700214888e-08 "Tvmar167" 0.00124186166700879
"Tvmar178.52" "TVAG_296100" 178 3.21854749027963e-08 "Tvmar178" 0.00134276968635414
"Tvmar178.78" "TVAG_454060" 178 3.49896508819952e-08 "Tvmar178" 0.00145253265214019
"MAV16.1" "TVAG_249690" 200 3.69332473959977e-08 "MAV16" 0.00150344636322671
"MAV17.1" "TVAG_249690" 201 3.69332473959977e-08 "MAV17" 0.00150344636322671
"MAV18.1" "TVAG_249690" 202 3.69332473959977e-08 "MAV18" 0.00150344636322671
"MAV19.1" "TVAG_249690" 203 3.69332473959977e-08 "MAV19" 0.00150344636322671
"MAV91.5" "TVAG_290230" 275 3.83980937201042e-08 "MAV91" 0.00155552495540908
"Tvmar57.2" "TVAG_447610" 57 3.96805699622013e-08 "Tvmar57" 0.00159975041227785
"Tvmar178.35" "TVAG_207530" 178 4.15069662179571e-08 "Tvmar178" 0.00166537626024404
"Tvmar178.32" "TVAG_196960" 178 4.27834060190217e-08 "Tvmar178" 0.00170841637516532
"Tvmar57.1" "TVAG_313630" 57 4.5491596038627e-08 "Tvmar57" 0.00172512916388947
"Tvmar173.3" "TVAG_156970" 173 4.56706221118535e-08 "Tvmar173" 0.00172512916388947
"Tvmar174.3" "TVAG_156970" 174 4.56706221118535e-08 "Tvmar174" 0.00172512916388947
"Tvmar175.3" "TVAG_156970" 175 4.56706221118535e-08 "Tvmar175" 0.00172512916388947
